Time,Address,Injury level,Age,Sex,Safety equipment,Primary event,Severity
2008-08-12 15:42:00,"MACLEOD TR S & 5 AV SW, Calgary, AB, Canada",NO INJURY,42,M,Helmet,Right angle,Property damage
2008-08-12 15:35:00,"8120 BEDDINGTON BV NW, Calgary, AB, Canada",MAJOR INJURY,53,M,,Passing-right turn,Property damage
2008-08-11 07:40:00,"18 AV SW & 8 ST SW, Calgary, AB, Canada",MAJOR INJURY,37,M,No helmet,Struck object,Injury
2008-08-11 07:05:00,"11 AV SW & 8 ST SW, Calgary, AB, Canada",MAJOR INJURY,26,M,No helmet,Right angle,Injury
2008-08-07 20:50:00,"BARLOW TR NE & 23 AV NE, Calgary, AB, Canada",UNKNOWN,0,M,,Struck object,Property damage
2008-08-07 12:40:00,"13 AV SW & 5 ST SW, Calgary, AB, Canada",MINOR INJURY,15,M,Helmet,Left turn across path,Injury
2008-08-06 21:43:00,"CORAL KEYS DR NE & CORAL SPRINGS BV NE, Calgary, AB, Canada",MINOR INJURY,17,F,,Struck object,Injury
2008-08-05 23:45:00,"ANDERSON RD SW & ELBOW DR SW, Calgary, AB, Canada",NO INJURY,0,M,,Struck object,Property damage
2008-08-05 18:40:00,"7000 MACLEOD TR S, Calgary, AB, Canada",NO INJURY,30,M,No helmet,Struck object,Property damage
2008-08-04 19:53:00,"4615 17 AV SE, Calgary, AB, Canada",MINOR INJURY,29,M,Helmet,Struck object,Injury
2008-08-01,"2500 BARLOW TR SE, Calgary, AB, Canada",MINOR INJURY,52,M,No helmet,Struck object,Injury
2008-08-01 10:15:00,"SPRUCE MEADOWS TR SW & 37 ST SW, Calgary, AB, Canada",MINOR INJURY,62,M,No helmet,Struck object,Injury
2008-07-31 16:20:00,"24 AV NE & 25 ST NE, Calgary, AB, Canada",NO INJURY,0,,,"Sideswipe, same direction",Property damage
2008-07-30 19:35:00,"RIVERGLEN DR SE & 18 ST SE, Calgary, AB, Canada",NO INJURY,14,M,No helmet,Struck object,Property damage
2008-07-28 16:43:00,"17 AV SW & 35 ST SW, Calgary, AB, Canada",MINOR INJURY,36,M,Helmet,Left turn across path,Injury
2008-07-27 14:56:00,"EDGEDALE DR NW & EDGEMONT BV NW, Calgary, AB, Canada",MINOR INJURY,21,F,Helmet,Struck object,Injury
2008-07-26 23:40:00,"2132 24 AV NW, Calgary, AB, Canada",NO INJURY,22,M,Helmet,Struck object,Property damage
2008-07-26 16:00:00,"700 8 ST SW, Calgary, AB, Canada",NO INJURY,51,M,Helmet,Passing-left turn,Property damage
2008-07-26 15:30:00,"SHAWVILLE BV SE & 162 AV SE, Calgary, AB, Canada",MINOR INJURY,41,M,Helmet,Struck object,Injury
2008-07-25 17:45:00,"RANCHRIDGE RD NW & RANCHVIEW DR NW, Calgary, AB, Canada",MINOR INJURY,8,M,No helmet,Struck object,Injury
2008-07-24 20:30:00,"167 TEMPLEGREEN RD NE, Calgary, AB, Canada",MINOR INJURY,14,M,,Struck object,Injury
2008-07-24 16:58:00,"MIDLAKE BV SE & SUN VALLEY BV SE, Calgary, AB, Canada",MINOR INJURY,35,M,No helmet,Right angle,Injury
2008-07-24 13:28:00,"MACLEOD TR S & 75 AV SW, Calgary, AB, Canada",MINOR INJURY,51,M,Helmet,Struck object,Injury
2008-07-21 16:39:00,"1 ST SW & 7 AV SW, Calgary, AB, Canada",MAJOR INJURY,28,F,Helmet,Struck object,Injury
2008-07-18 07:39:00,"1 ST SW & 11 AV SW, Calgary, AB, Canada",MINOR INJURY,42,M,Helmet,Right angle,Injury
2008-07-17 17:10:00,"EDMONTON TR NE & 2 AV NE, Calgary, AB, Canada",MAJOR INJURY,68,M,Helmet,Right angle,Injury
2008-07-16 15:45:00,"DEER RIDGE DR SE & 137 AV SE, Calgary, AB, Canada",MINOR INJURY,11,M,,Right angle,Injury
2008-07-14 19:30:00,"1136 137 AV SE, Calgary, AB, Canada",NO INJURY,0,U,,Struck object,Property damage
2008-07-13 17:45:00,"CORAL SHORES DR NE & CORAL SPRINGS BV NE, Calgary, AB, Canada",MINOR INJURY,13,M,Helmet,Struck object,Injury
2008-07-11 09:30:00,"4 ST NE & 60 AV NE, Calgary, AB, Canada",NO INJURY,0,M,,Right angle,Property damage
2008-07-10 21:58:00,"PARKDALE BV NW & 29 ST NW, Calgary, AB, Canada",MINOR INJURY,25,F,Helmet,Struck object,Injury
2008-07-10 13:00:00,"19 AV SW & 8 ST SW, Calgary, AB, Canada",MAJOR INJURY,44,M,Helmet,Struck object,Injury
2008-07-09 22:57:00,"CENTRE ST N & 16 AV NE, Calgary, AB, Canada",MAJOR INJURY,60,M,Helmet,Struck object,Injury
2008-07-09 20:30:00,"4563 41 AV SW, Calgary, AB, Canada",MINOR INJURY,0,,,Struck object,Injury
2008-07-09 19:40:00,"2 ST NE & 28 AV NE, Calgary, AB, Canada",MINOR INJURY,13,M,Helmet,Struck object,Injury
2008-07-08 14:23:00,"14 ST NW & 64 AV NW, Calgary, AB, Canada",MINOR INJURY,18,F,No helmet,Passing-left turn,Injury
2008-07-08 09:40:00,"14 ST NW & 64 AV NW, Calgary, AB, Canada",MINOR INJURY,53,M,No helmet,Right angle,Injury
2008-07-08 09:30:00,"BEDDINGTON BV NW & BERMUDA DR NW, Calgary, AB, Canada",MINOR INJURY,64,M,,Struck object,Injury
2008-07-06 21:10:00,"EDMONTON TR NE & 13 AV NE, Calgary, AB, Canada",NO INJURY,24,M,Helmet,Right angle,Property damage
2008-07-05 16:30:00,"CRESCENT BV SW & LANSDOWNE AV SW, Calgary, AB, Canada",MINOR INJURY,15,F,No helmet,Passing-left turn,Injury
2008-07-05 06:48:00,"MACLEOD TR S & 15 AV SW, Calgary, AB, Canada",MINOR INJURY,36,M,Helmet,Right angle,Injury
2008-07-05 01:35:00,"2500 UNIVERSITY DR NW, Calgary, AB, Canada",MINOR INJURY,38,M,No helmet,Struck object,Injury
2008-07-03 23:30:00,"CASTLERIDGE BV NE & FALCONRIDGE BV NE, Calgary, AB, Canada",MINOR INJURY,16,M,Helmet,Struck object,Injury
2008-07-03 18:54:00,"2515 90 AV SW, Calgary, AB, Canada",MINOR INJURY,57,M,No helmet,Right angle,Injury
2008-07-02 21:10:00,"DEERFIELD DR SE & DEERSAXON GA SE, Calgary, AB, Canada",NO INJURY,15,M,No helmet,Struck object,Property damage
2008-06-28 23:00:00,"5140 HUBALTA RD SE, Calgary, AB, Canada",NO INJURY,44,M,,Right angle,Property damage
2008-06-28 15:03:00,"3625 SHAGANAPPI TR NW, Calgary, AB, Canada",MAJOR INJURY,29,M,Helmet,Struck object,Injury
2008-06-27 21:35:00,"23 ST NE & 27 AV NE, Calgary, AB, Canada",MINOR INJURY,20,M,Helmet,Right angle,Injury
2008-06-26 17:00:00,"23 SUNPARK DR SE, Calgary, AB, Canada",NO INJURY,0,M,Helmet,Struck object,Property damage
2008-06-25 20:55:00,"APPLEWOOD DR SE & 68 ST SE, Calgary, AB, Canada",MINOR INJURY,14,M,Helmet,Struck object,Injury
2008-06-24 18:00:00,"ELBOW DR SW & 57 AV SW, Calgary, AB, Canada",MINOR INJURY,38,M,No helmet,Struck object,Injury
2008-06-23 20:15:00,"150 MILLRISE BV SW, Calgary, AB, Canada",MINOR INJURY,61,F,Helmet,Struck object,Property damage
2008-06-22 20:45:00,"43 LAKE LINNET CL SE, Calgary, AB, Canada",MINOR INJURY,19,F,No helmet,Right angle,Injury
2008-06-22 17:15:00,"12 AV SW & 8 ST SW, Calgary, AB, Canada",MINOR INJURY,31,M,Helmet,Struck object,Injury
2008-06-21 21:25:00,"CENTRE ST N & 28 AV NE, Calgary, AB, Canada",NO INJURY,23,M,Helmet,Struck object,Property damage
2008-06-21 19:15:00,"CARDELL ST NE & CHILD AV NE, Calgary, AB, Canada",MAJOR INJURY,71,M,,"Sideswipe, same direction",Injury
2008-06-21 13:00:00,"MIDLAKE BV SE & MIDPARK RI SE, Calgary, AB, Canada",MINOR INJURY,43,F,No helmet,Left turn across path,Injury
2008-06-21 12:50:00,"1 ST SW & 11 AV SW, Calgary, AB, Canada",DEATH,37,M,Helmet,Struck object,Fatal
2008-06-21 12:00:00,"FALCONRIDGE DR NE & FALSBRIDGE GA NE, Calgary, AB, Canada",NO INJURY,0,M,Helmet,Right angle,Property damage
2008-06-20 18:00:00,"15 AV SW & 6 ST SW, Calgary, AB, Canada",NO INJURY,23,F,,,Property damage
2008-06-20 15:30:00,"NOSE HILL DR NW & 87 ST NW, Calgary, AB, Canada",MINOR INJURY,66,F,,Right angle,Property damage
2008-06-20 15:30:00,"100 4 AV SW, Calgary, AB, Canada",NO INJURY,37,M,Helmet,Struck object,Property damage
2008-06-20 13:45:00,"1128 FALCONRIDGE DR NE, Calgary, AB, Canada",MINOR INJURY,41,M,Helmet,Struck object,Injury
2008-06-19 17:50:00,"FALCONRIDGE DR NE & 52 ST NE, Calgary, AB, Canada",MINOR INJURY,7,M,,Struck object,Injury
2008-06-18 15:40:00,"COVENTRY HILLS WY NE & COVEPARK DR NE, Calgary, AB, Canada",MINOR INJURY,11,F,No helmet,Struck object,Injury
2008-06-17 15:15:00,"CATALINA BV NE & LAGUNA CL NE, Calgary, AB, Canada",MINOR INJURY,32,F,No helmet,,Injury
2008-06-16 16:52:00,"GLENMORE TR SE & OGDEN RD SE, Calgary, AB, Canada",MINOR INJURY,52,M,No helmet,Struck object,Injury
2008-06-16 16:35:00,"DEERFOOT TR SE & 130 AV SE, Calgary, AB, Canada",MINOR INJURY,25,M,No helmet,Rear end,Injury
2008-06-16 13:45:00,"3200 MISSION RD SW, Calgary, AB, Canada",MINOR INJURY,42,M,No helmet,"Sideswipe, same direction",Injury
2008-06-16 07:40:00,"13 ST NW & 18 AV NW, Calgary, AB, Canada",MINOR INJURY,31,F,,Struck object,Injury
2008-06-15 13:55:00,"SUN HARBOUR RD SE & SUN VALLEY BV SE, Calgary, AB, Canada",NO INJURY,0,M,,Struck object,Property damage
2008-06-15 11:55:00,"68 ST NE & 80 AV NE, Calgary, AB, Canada",MINOR INJURY,25,M,No helmet,"Sideswipe, same direction",Injury
2008-06-14 16:08:00,"979 LAKE PLACID DR SE, Calgary, AB, Canada",MINOR INJURY,5,M,No helmet,Struck object,Injury
2008-06-13 11:20:00,"1 ST SE & 6 AV SE, Calgary, AB, Canada",NO INJURY,0,,,Rear end,Property damage
2008-06-12 19:20:00,"26 AV SW & 29 ST SW, Calgary, AB, Canada",MINOR INJURY,40,M,,Struck object,Injury
2008-06-11 18:50:00,"11 AV SW & 13 ST SW, Calgary, AB, Canada",MINOR INJURY,29,M,Helmet,Right angle,Injury
2008-06-11 15:45:00,"FAIRMOUNT DR SE & FROBISHER BV SE, Calgary, AB, Canada",NO INJURY,14,F,No helmet,Right angle,Property damage
2008-06-10 12:20:00,"4 AV SW & 9 ST SW, Calgary, AB, Canada",MINOR INJURY,35,M,Helmet,Struck object,Injury
2008-06-09 07:20:00,"19 ST NE & 8 AV NE, Calgary, AB, Canada",MINOR INJURY,23,F,No helmet,Passing-right turn,Injury
2008-06-06 19:15:00,"MCKENZIE LAKE BV SE & MT MCKENZIE DR SE, Calgary, AB, Canada",*,14,M,,Struck object,Injury
2008-06-05 12:00:00,"1002 8 ST SE, Calgary, AB, Canada",NO INJURY,47,M,No helmet,Struck object,Property damage
2008-06-04 19:30:00,"CASTLERIDGE DR NE & FALCONRIDGE BV NE, Calgary, AB, Canada",MINOR INJURY,67,M,Helmet,"Sideswipe, same direction",Injury
2008-06-04 08:15:00,"26 AV SW & 37 ST SW, Calgary, AB, Canada",MINOR INJURY,13,M,No helmet,Struck object,Injury
2008-06-04 05:20:00,"19 ST NW & 20 AV NW, Calgary, AB, Canada",MINOR INJURY,42,M,,"Sideswipe, same direction",Injury
2008-06-03 23:45:00,"5 ST SE & 9 AV SE, Calgary, AB, Canada",MINOR INJURY,38,M,Helmet,Struck object,Injury
2008-06-02 08:05:00,"14 ST SW & 22 AV SW, Calgary, AB, Canada",MINOR INJURY,25,M,No helmet,Struck object,Injury
2008-06-02 07:31:00,"4200 52 ST NE, Calgary, AB, Canada",MAJOR INJURY,13,M,Helmet,Struck object,Injury
2008-05-31 18:40:00,"292 COVEHAVEN RD NE, Calgary, AB, Canada",NO INJURY,11,M,Helmet,Right angle,Property damage
2008-05-31 17:10:00,"129 HUNTFORD CL NE, Calgary, AB, Canada",NO INJURY,28,M,Helmet,"Sideswipe, same direction",Property damage
2008-05-30 17:31:00,"15 ST SW & 17 AV SW, Calgary, AB, Canada",MAJOR INJURY,47,M,,Struck object,Injury
2008-05-30 16:30:00,"303 QUEENSLAND RD SE, Calgary, AB, Canada",MINOR INJURY,13,M,No helmet,Struck object,Injury
2008-05-28 23:10:00,"19 AV SW & 8 ST SW, Calgary, AB, Canada",MINOR INJURY,46,M,Helmet,Right angle,Injury
2008-05-28 08:28:00,"19 ST SW & 42 AV SW, Calgary, AB, Canada",MAJOR INJURY,14,F,,Right angle,Injury
2008-05-27 14:50:00,"4847 DALTON DR NW, Calgary, AB, Canada",MINOR INJURY,4,M,Helmet,Struck object,Injury
2008-05-27 07:00:00,"19 ST NE & 24 AV NE, Calgary, AB, Canada",NO INJURY,43,M,No helmet,Right angle,Property damage
2008-05-22 08:20:00,"700 5 AV SW, Calgary, AB, Canada",UNKNOWN,0,,,Rear end,Property damage
2008-05-22 08:15:00,"RICHMOND RD SW & 20 AV SW, Calgary, AB, Canada",NO INJURY,53,F,,Struck object,Property damage
2008-05-22 07:36:00,"CARLETON ST SW & PROSPECT AV SW, Calgary, AB, Canada",MINOR INJURY,0,M,No helmet,Struck object,Injury
2008-05-21 08:30:00,"OGDEN RD SE & 42 AV SE, Calgary, AB, Canada",NO INJURY,0,M,Helmet,Struck object,Property damage
2008-05-20 16:30:00,"3808 13 ST SW, Calgary, AB, Canada",UNKNOWN,0,U,Helmet,Struck object,Property damage
2008-05-19 09:45:00,"4 3 FONDA HL SE, Calgary, AB, Canada",MINOR INJURY,4,M,Helmet,Right angle,Injury
2008-05-17 10:40:00,"11 ST SW & 12 AV SW, Calgary, AB, Canada",MINOR INJURY,45,F,No helmet,Right angle,Injury
2008-05-16 08:30:00,"HADDON RD SW & HERITAGE DR SW, Calgary, AB, Canada",MINOR INJURY,25,M,No helmet,Right angle,Injury
2008-05-14 18:45:00,"705 FONDA CO SE, Calgary, AB, Canada",MINOR INJURY,6,M,,Struck object,Injury
2008-05-14 16:55:00,"101 ST SW & 17 AV SW, Calgary, AB, Canada",MAJOR INJURY,47,F,,Right angle,Injury
2008-05-14 06:00:00,"13 AV SW & 4 ST SW, Calgary, AB, Canada",MAJOR INJURY,46,M,,Rear end,Injury
2008-05-13 17:00:00,"SILVER SPRINGS BV NW & SILVER SPRINGS RD NW, Calgary, AB, Canada",NO INJURY,19,M,No helmet,Struck object,Property damage
2008-05-13 08:00:00,"SUN VALLEY BV SE & SUN VALLEY DR SE, Calgary, AB, Canada",NO INJURY,29,F,Helmet,Right angle,Property damage
2008-05-12 10:37:00,"11 AV SW & 6 ST SW, Calgary, AB, Canada",MINOR INJURY,50,M,Helmet,Struck object,Property damage
2008-05-10 19:00:00,"WESTON DR SW & 77 ST SW, Calgary, AB, Canada",MAJOR INJURY,10,M,Helmet,Struck object,Injury
2008-05-10 13:25:00,"10 ST SW & 14 AV SW, Calgary, AB, Canada",MINOR INJURY,19,M,Helmet,Right angle,Injury
2008-05-09 15:00:00,"14 ST SW & 17 AV SW, Calgary, AB, Canada",NO INJURY,18,M,Helmet,Struck object,Property damage
2008-05-09 08:20:00,"3 AV SW & 3 ST SW, Calgary, AB, Canada",MINOR INJURY,18,M,Helmet,"Sideswipe, same direction",Injury
2008-05-04 11:10:00,"196 HARVEST CREEK CL NE, Calgary, AB, Canada",MAJOR INJURY,7,M,No helmet,Struck object,Injury
2008-05-03 12:20:00,"WESTWOOD DR SW & 45 ST SW, Calgary, AB, Canada",MINOR INJURY,50,F,No helmet,Struck object,Injury
2008-05-02 14:03:00,"32 AV NE & 36 AV NE, Calgary, AB, Canada",NO INJURY,73,M,,Struck object,Property damage
2008-05-02 13:20:00,"8325 BONAVENTURE DR SE, Calgary, AB, Canada",MINOR INJURY,32,M,Helmet,Right angle,Injury
2008-05-01 16:30:00,"ELBOW DR SW & GLENMORE TR SW, Calgary, AB, Canada",NO INJURY,23,M,Helmet,Struck object,Property damage
2008-04-29 21:10:00,"SIERRA MORENA BV SW & SIERRA MORENA RD SW, Calgary, AB, Canada",NO INJURY,13,M,Helmet,Right angle,Property damage
2008-04-29 17:45:00,"10 AV SW & 45 ST SW, Calgary, AB, Canada",MAJOR INJURY,54,M,No helmet,Struck object,Injury
2008-04-28 07:45:00,"HIDDEN VALLEY DR NW & HIDDEN VALLEY LI NW, Calgary, AB, Canada",NO INJURY,13,M,,Struck object,Property damage
2008-04-27 15:30:00,"MACLEOD TR S & SHAWNESSY BV SW, Calgary, AB, Canada",MINOR INJURY,42,M,No helmet,Struck object,Injury
2008-04-27 10:35:00,"32 AV NE & 36 AV NE, Calgary, AB, Canada",MINOR INJURY,71,M,No helmet,Right angle,Injury
2008-04-26 21:52:00,"55 ST SE & 8 AV SE, Calgary, AB, Canada",NO INJURY,33,M,Helmet,Struck object,Property damage
2008-04-26 17:27:00,"CENTRE ST N & MEMORIAL DR N, Calgary, AB, Canada",MAJOR INJURY,23,F,Helmet,Struck object,Injury
2008-04-26 14:48:00,"17 AV SE & 47 ST SE, Calgary, AB, Canada",MINOR INJURY,78,M,Helmet,Struck object,Injury
2008-04-19 22:00:00,"15 AV SW & 4 ST SW, Calgary, AB, Canada",NO INJURY,44,M,Helmet,Right angle,Property damage
2008-04-16 18:30:00,"17 AV SE & 41 ST SE, Calgary, AB, Canada",NO INJURY,53,M,Helmet,"Sideswipe, same direction",Property damage
2008-04-16 15:28:00,"3800 MEMORIAL DR E, Calgary, AB, Canada",MINOR INJURY,50,M,Helmet,Right angle,Injury
2008-04-15 05:45:00,"BOWFORT RD NW & BOWRIDGE DR NW, Calgary, AB, Canada",MINOR INJURY,43,M,,Struck object,Injury
2008-04-13 15:20:00,"CROWCHILD TR NW & TWELVE MI COULEE RD NW, Calgary, AB, Canada",NO INJURY,39,M,No helmet,Left turn across path,Property damage
2008-04-12 18:45:00,"101 MARTINBROOK PL NE, Calgary, AB, Canada",MINOR INJURY,6,M,No helmet,Struck object,Injury
2008-04-02 21:30:00,"32 AV NE & 36 ST NE, Calgary, AB, Canada",MINOR INJURY,23,M,Helmet,Struck object,Injury
2008-04-02 21:00:00,"MEMORIAL DR E & 4 ST NE, Calgary, AB, Canada",MAJOR INJURY,18,M,Helmet,Right angle,Injury
2008-04-02 18:54:00,"17 AV SE & 44 ST SE, Calgary, AB, Canada",NO INJURY,56,M,Helmet,,Property damage
2008-04-02 16:10:00,"EDMONTON TR NE & 41 AV NE, Calgary, AB, Canada",NO INJURY,76,M,No helmet,Struck object,Property damage
2008-04-02 07:30:00,"PEIGAN TR SE & 52 ST SE, Calgary, AB, Canada",MINOR INJURY,44,F,,Struck object,Injury
2008-03-31 16:00:00,"8 AV SW & 9 ST SW, Calgary, AB, Canada",MINOR INJURY,26,M,Helmet,Left turn across path,Injury
2008-03-30 14:55:00,"BONAVENTURE DR SE & SOUTHLAND DR SE, Calgary, AB, Canada",MINOR INJURY,24,M,Helmet,Struck object,Injury
2008-03-21 13:00:00,"EDMONTON TR NE & 9 AV NE, Calgary, AB, Canada",MINOR INJURY,31,M,Helmet,Head on,Injury
2008-03-19 11:30:00,"CENTRE ST N & 20 AV NE, Calgary, AB, Canada",NO INJURY,0,M,,Passing-right turn,Property damage
2008-03-19 07:00:00,"17 AV SE & 68 ST SE, Calgary, AB, Canada",NO INJURY,50,M,Helmet,Right angle,Property damage
2008-03-18 17:45:00,"CENTRE ST N & TACHE AV NE, Calgary, AB, Canada",NO INJURY,34,M,No helmet,Struck object,Property damage
2008-03-18 16:52:00,"32 AV NE & 36 ST NE, Calgary, AB, Canada",NO INJURY,0,M,,,Property damage
2008-03-10 22:20:00,"17 AV SW & 29 ST SW, Calgary, AB, Canada",MINOR INJURY,33,M,,Rear end,Injury
2008-03-09 19:15:00,"1440 52 ST NE, Calgary, AB, Canada",UNKNOWN,0,M,,Struck object,Injury
2008-03-08 15:06:00,"MEMORIAL DR E & ZOO RD NE, Calgary, AB, Canada",NO INJURY,52,M,Helmet,Right angle,Property damage
2008-03-08 13:20:00,"11 AV SW & 14 ST SW, Calgary, AB, Canada",MINOR INJURY,24,F,No helmet,Struck object,Injury
2008-03-07 20:05:00,"36 ST SE & 8 AV SE, Calgary, AB, Canada",MINOR INJURY,0,M,,Struck object,Injury
2008-03-07 16:00:00,"15 AV SW & 8 ST SW, Calgary, AB, Canada",NO INJURY,0,U,,Struck object,Property damage
2008-03-07 13:55:00,"17 AV SE & 47 ST SE, Calgary, AB, Canada",NO INJURY,23,M,,Struck object,Property damage
2008-03-06 16:45:00,"145 SOMERSIDE PA SW, Calgary, AB, Canada",NO INJURY,6,M,No helmet,Struck object,Property damage
2008-03-05 12:25:00,"10 ST SW & 9 AV SW, Calgary, AB, Canada",MINOR INJURY,25,M,,"Sideswipe, same direction",Injury
2008-03-03 13:30:00,"11 AV SW & 5 ST SW, Calgary, AB, Canada",NO INJURY,40,M,Helmet,,Property damage
2008-02-27 16:30:00,"4 AV SW & 5 ST SW, Calgary, AB, Canada",NO INJURY,0,M,,"Sideswipe, same direction",Property damage
2008-02-27 11:10:00,"14 AV SW & 4 ST SW, Calgary, AB, Canada",MINOR INJURY,31,M,Helmet,Struck object,Injury
2008-02-22 22:30:00,"1 ST SW & 7 AV SW, Calgary, AB, Canada",NO INJURY,35,M,Helmet,Struck object,Property damage
2008-02-15 18:35:00,"126 AV SE & 52 ST SE, Calgary, AB, Canada",MAJOR INJURY,31,M,Helmet,Struck object,Injury
2008-02-14 08:45:00,"1 AV NW & 9 ST NW, Calgary, AB, Canada",MINOR INJURY,38,F,No helmet,Left turn across path,Injury
2008-02-05 19:00:00,"15 AV SW & 9 ST SW, Calgary, AB, Canada",MINOR INJURY,23,M,Helmet,Struck object,Injury
2008-02-04 21:20:00,"FAIRMOUNT DR SE & SOUTHLAND DR SE, Calgary, AB, Canada",MINOR INJURY,47,M,Helmet,Struck object,Injury
2008-02-01 11:30:00,"12 AV SW & 5 ST SW, Calgary, AB, Canada",NO INJURY,25,M,No helmet,Struck object,Property damage
2008-01-17 07:35:00,"MANCHESTER RD SE & 39 AV SE, Calgary, AB, Canada",NO INJURY,51,M,Helmet,Struck object,Property damage
2008-01-14 12:10:00,"1 ST SE & 9 AV SE, Calgary, AB, Canada",MINOR INJURY,61,M,Helmet,Struck object,Injury
2008-01-14 08:20:00,"CENTRE ST S & 10 AV SE, Calgary, AB, Canada",NO INJURY,25,M,No helmet,Struck object,Property damage
2008-01-07 17:25:00,"6 ST SE & 9 AV SE, Calgary, AB, Canada",MINOR INJURY,48,M,,Right angle,Injury
2008-01-04 07:25:00,"BEDDINGTON BV NE & 4 ST NE, Calgary, AB, Canada",MINOR INJURY,29,F,No helmet,Right angle,Injury
2007-12-19 09:15:00,"10 AV SW & 6 ST SW, Calgary, AB, Canada",MINOR INJURY,37,M,No helmet,Left turn across path,Injury
2007-12-17 17:40:00,"500 4 ST SW, Calgary, AB, Canada",NO INJURY,46,M,Helmet,Passing-left turn,Property damage
2007-12-14 21:15:00,"13 AV SW & 2 ST SW, Calgary, AB, Canada",MINOR INJURY,30,F,No helmet,Struck object,Injury
2007-12-04 12:00:00,"DEERFOOT TR NE & MEMORIAL DR E, Calgary, AB, Canada",MAJOR INJURY,71,M,No helmet,Rear end,Injury
2007-11-20 14:40:00,"16 AV NW & 4 ST NW, Calgary, AB, Canada",NO INJURY,51,M,Helmet,Struck object,Property damage
2007-11-15 18:00:00,"4307 130 AV SE, Calgary, AB, Canada",NO INJURY,0,M,Helmet,Right angle,Property damage
2007-11-14,"SANDARAC DR NW & 14 ST NW, Calgary, AB, Canada",MINOR INJURY,20,M,No helmet,Struck object,Injury
2007-11-14 19:00:00,"COLERIDGE RD NW & NORTHMOUNT DR NW, Calgary, AB, Canada",MINOR INJURY,41,M,Helmet,Struck object,Property damage
2007-11-12 17:56:00,"12 AV NE & 38 ST NE, Calgary, AB, Canada",MINOR INJURY,43,M,Helmet,Left turn across path,Injury
2007-11-12 12:10:00,"MIDLAKE BV SE & SUN VALLEY BV SE, Calgary, AB, Canada",MINOR INJURY,0,M,Helmet,Struck object,Injury
2007-11-11 02:00:00,"14 AV SW & 4 ST SW, Calgary, AB, Canada",MINOR INJURY,26,M,Helmet,Rear end,Injury
2007-11-06 19:00:00,"TEMPLE DR NE & 43 AV NE, Calgary, AB, Canada",MINOR INJURY,43,M,Helmet,Struck object,Injury
2007-11-02 14:45:00,"24 AV NW & 4 ST NW, Calgary, AB, Canada",MINOR INJURY,16,M,Helmet,Struck object,Injury
2007-11-01 17:30:00,"ELBOW DR SW & 38 AV SW, Calgary, AB, Canada",NO INJURY,11,M,,Struck object,Property damage
2007-10-29 14:15:00,"55 ST SE & 8 AV SE, Calgary, AB, Canada",MAJOR INJURY,17,F,Helmet,Struck object,Injury
2007-10-27 16:45:00,"2525 WOODVIEW DR SW, Calgary, AB, Canada",NO INJURY,16,M,Helmet,Struck object,Property damage
2007-10-26 09:00:00,"3312 34 AV SW, Calgary, AB, Canada",NO INJURY,21,M,Helmet,Struck object,Property damage
2007-10-26 07:11:00,"DALHOUSIE DR NW & DALTON DR NW, Calgary, AB, Canada",MINOR INJURY,12,F,Helmet,Right angle,Injury
2007-10-25 15:30:00,"36 ST SE & 8 AV SE, Calgary, AB, Canada",MINOR INJURY,43,M,Helmet,Struck object,Injury
2007-10-25 07:50:00,"26 AV SW & 37 ST SW, Calgary, AB, Canada",MINOR INJURY,34,F,No helmet,Right angle,Injury
2007-10-25 07:00:00,"COUNTRY HILLS BV NW & PANORAMA HILLS BV NW, Calgary, AB, Canada",NO INJURY,36,M,No helmet,Struck object,Property damage
2007-10-24 16:00:00,"CENTRE ST N & 12 AV NE, Calgary, AB, Canada",NO INJURY,0,M,No helmet,Passing-right turn,Property damage
2007-10-24 09:00:00,"14 ST NW & 24 AV NW, Calgary, AB, Canada",NO INJURY,13,M,No helmet,Passing-left turn,Property damage
2007-10-24 07:15:00,"85 SHAWVILLE BV SE, Calgary, AB, Canada",MINOR INJURY,33,M,Helmet,Struck object,Injury
2007-10-20 11:00:00,"CENTRE ST N & 68 AV NW, Calgary, AB, Canada",MINOR INJURY,12,M,No helmet,Right angle,Injury
2007-10-18 13:21:00,"4 ST SE & 83 AV SE, Calgary, AB, Canada",MINOR INJURY,14,M,Helmet,Struck object,Injury
2007-10-18 08:40:00,"1A ST SE & 55 AV SE, Calgary, AB, Canada",MAJOR INJURY,23,F,,Struck object,Injury
2007-10-17 08:42:00,"SHAWVILLE BV SE & SHAWVILLE RI SE, Calgary, AB, Canada",NO INJURY,18,F,No helmet,Struck object,Property damage
2007-10-15 20:05:00,"17 AV SE & 36 ST SE, Calgary, AB, Canada",MINOR INJURY,25,F,Helmet,Struck object,Injury
2007-10-15 08:30:00,"BOWNESS RD NW & POINT DR NW, Calgary, AB, Canada",MAJOR INJURY,54,M,,Right angle,Injury
2007-10-14 20:00:00,"2124 24 AV NW, Calgary, AB, Canada",MINOR INJURY,27,F,No helmet,Struck object,Injury
2007-10-14 17:30:00,"CENTRE ST N & 28 AV NE, Calgary, AB, Canada",NO INJURY,0,M,No helmet,Struck object,Property damage
2007-10-14 15:10:00,"5048 16 AV NW, Calgary, AB, Canada",NO INJURY,37,F,Helmet,Struck object,Property damage
2007-10-13 05:20:00,"3216 30A AV SE, Calgary, AB, Canada",NO INJURY,0,U,,Struck object,Property damage
